keyword,search_volume,difficulty,priority,category,intent,location,notes
spray foam insulation pros cons,2900,Low,Medium,Research,Informational,National,Decision research
best insulation cold climate,90,Low,Medium,Research,Informational,National,Alaska-relevant
how long does spray foam last,480,Low,Medium,Research,Informational,National,Durability concern
spray foam installation process,260,Low,Medium,Educational,Informational,National,Process content
frozen pipes insulation,390,Low,Medium,Problem,Commercial,National,Problem-solution
cold drafts house,260,Low,Medium,Problem,Commercial,National,Symptom-based
high heating bills,320,Low,Medium,Problem,Commercial,National,Pain point
mold crawl space,480,Low,Medium,Problem,Commercial,National,Problem-based
moisture control insulation,170,Low,Medium,Problem,Commercial,National,Solution-focused
spray foam Big Lake,20,Low,Medium,Location,Transactional,Mat-Su,Small market
insulation Homer Alaska,20,Low,Medium,Location,Transactional,Kenai,Remote market
spray foam Seward,15,Low,Medium,Location,Transactional,Kenai,Small market
insulation Girdwood,10,Low,Low,Location,Transactional,Anchorage,Small suburb
spray foam Willow,10,Low,Low,Location,Transactional,Mat-Su,Small community
pole barn insulation,1600,Medium,Medium,Application,Commercial,National,Specialty
container home insulation,480,Low,Medium,Application,Commercial,National,Niche market
mobile home insulation,880,Medium,Medium,Application,Commercial,National,Specific market
rim joist insulation,590,Low,Medium,Application,Commercial,National,Technical application
garage insulation,3600,Medium,Medium,Application,Commercial,National,DIY/Pro mix
basement insulation,5400,Medium,Medium,Application,Commercial,National,General service
new construction insulation,390,Low,Medium,Application,Commercial,National,Builder market
retrofit insulation,260,Low,Medium,Application,Commercial,National,Upgrade market
energy efficient home Alaska,70,Low,Medium,Energy,Informational,Alaska,Lifestyle
insulation energy savings,320,Low,Medium,Energy,Informational,National,Benefit content
spray foam ROI,140,Low,Medium,Cost,Commercial,National,Investment justification
insulation payback period,110,Low,Medium,Cost,Commercial,National,ROI content
summer insulation installation,20,Low,Medium,Seasonal,Commercial,Alaska,Off-season
spring insulation Anchorage,10,Low,Low,Seasonal,Commercial,Anchorage,Off-season
fall insulation upgrade,20,Low,Medium,Seasonal,Commercial,National,Pre-winter
emergency insulation repair,30,Low,Medium,Seasonal,Transactional,National,Urgent need
Foamology Insulation,50,Low,Critical,Brand,Navigational,Alaska,Brand protection
Foamology Anchorage,20,Low,Critical,Brand,Navigational,Anchorage,Local brand
spray foam quote Anchorage,20,Low,High,Action,Transactional,Anchorage,Lead generation
free insulation estimate Alaska,15,Low,High,Action,Transactional,Alaska,Lead generation
insulation contractor reviews,170,Low,Medium,Trust,Commercial,National,Reputation
licensed insulation contractor,90,Low,Medium,Trust,Commercial,National,Credibility
BBB insulation contractor,50,Low,Medium,Trust,Commercial,National,Trust signal
family owned insulation,40,Low,Medium,Trust,Commercial,National,Local appeal
vapor barrier crawl space,590,Low,Medium,Technical,Commercial,National,Specific solution
blower door test,720,Low,Medium,Technical,Commercial,National,Diagnostic service
thermal imaging insulation,170,Low,Medium,Technical,Commercial,National,Inspection service
heat loss inspection,90,Low,High,Technical,Commercial,National,Diagnostic service
spray foam vs cellulose,390,Low,Medium,Comparison,Informational,National,Decision content
spray foam vs blown in,260,Low,Medium,Comparison,Informational,National,Decision content
best attic insulation,1300,Medium,Medium,Comparison,Informational,National,Product research
best crawl space insulation,390,Low,Medium,Comparison,Informational,National,Product research
ice dam water damage,140,Low,Medium,Problem,Commercial,National,Urgency driver
icicles on roof,210,Low,Medium,Problem,Informational,National,Symptom search
roof leaking ice dam,70,Low,Medium,Problem,Commercial,National,Problem-urgent
permafrost insulation,30,Low,Low,Technical,Informational,Alaska,Alaska-specific
arctic insulation,50,Low,Low,Technical,Commercial,Alaska,Regional term
Alaska building code insulation,20,Low,Low,Technical,Informational,Alaska,Compliance
R-38 attic insulation,260,Low,Low,Technical,Commercial,National,Spec-based
R-60 insulation Alaska,10,Low,Low,Technical,Commercial,Alaska,Alaska spec
cathedral ceiling insulation,390,Low,Medium,Application,Commercial,National,Specialty
knee wall insulation,210,Low,Low,Application,Commercial,National,Specialty
bonus room insulation,170,Low,Low,Application,Commercial,National,Specialty
two story foyer insulation,30,Low,Low,Application,Commercial,National,Specialty
