content_type,keyword,current_status,search_volume,competition,difficulty,conversion_intent,traffic_impact,priority,recommended_page,estimated_effort_hours,notes
Trust Page,our guarantee,none,30,low,2,high,low,medium,/our-guarantee,2,Warranty information
Commercial Page,commercial insulation Alaska,none,100,low,3,very high,medium,high,/commercial,4,B2B opportunity
Commercial Page,warehouse insulation,none,2400,medium,5,very high,high,medium,/commercial/warehouse-insulation,4,Specific commercial service
Commercial Page,metal building insulation,none,2400,medium,5,very high,high,medium,/commercial/metal-building-insulation,4,Specific commercial service
Service Page Enhancement,closed cell spray foam FAQ,missing,n/a,n/a,1,medium,medium,high,/services/closed-cell-spray-foam,1,Add FAQ section
Service Page Enhancement,crawl space FAQ,missing,n/a,n/a,1,medium,medium,high,/services/crawl-space-insulation,1,Add FAQ section
Service Page Enhancement,attic insulation expansion,partial,22200,medium,6,high,very high,high,/services/attic-insulation,3,Expand content depth
Service Page Enhancement,weatherization AHFC,missing,100,low,3,high,medium,high,/services/weatherization,3,Add rebate information
Specialty Service,air sealing services,none,480,low,3,high,medium,medium,/services/air-sealing,4,Complementary service
Specialty Service,rim joist insulation,none,590,low,3,high,medium,medium,/services/rim-joist-insulation,3,Specific application
Specialty Service,garage insulation,none,3600,medium,5,high,high,medium,/services/garage-insulation,4,Common request
Specialty Service,pole barn insulation,none,1600,medium,5,high,medium,lower,/services/pole-barn-insulation,3,Niche market
Video Content,YouTube channel,none,varies,very low,2,medium,high,high,YouTube,ongoing,Uncontested opportunity
Video Content,installation process video,none,varies,very low,2,medium,high,high,YouTube,4,Trust building
Video Content,testimonial videos,none,varies,very low,2,high,medium,high,YouTube,3 each,Social proof
Blog Post,winter prep checklist,none,260,low,3,medium,medium,medium,/blog/winter-prep-checklist,2,Seasonal content
Blog Post,signs of poor insulation,none,320,low,3,high,medium,medium,/blog/signs-you-need-insulation,2,Problem awareness
Blog Post,prevent frozen pipes,none,390,low,3,high,medium,medium,/blog/prevent-frozen-pipes,2,Problem solution
Blog Post,reduce heating costs,none,210,medium,4,high,medium,medium,/blog/reduce-heating-costs,2,Problem solution
Blog Post,cold floors solution,none,720,low,3,high,medium,medium,/blog/cold-floors-winter,2,Problem solution
Local Schema,LocalBusiness schema,missing,n/a,n/a,1,medium,medium,critical,Site-wide,1,Technical SEO foundation
Local Schema,Service schema,partial,n/a,n/a,1,medium,low,high,Service pages,0.5 per page,Enhanced rich snippets
Local Schema,Review schema,missing,n/a,n/a,1,medium,medium,high,About/Reviews,1,Star ratings in search
GBP Optimization,Google Business Profile,needs work,n/a,n/a,2,high,high,critical,GBP listing,3,Local SEO foundation
Download Resource,pre-winter checklist PDF,none,n/a,n/a,2,medium,low,medium,Lead magnet,3,Lead generation
Download Resource,installation prep guide,none,n/a,n/a,2,high,low,high,Lead magnet,3,Customer preparation
Download Resource,AHFC rebate worksheet,none,n/a,n/a,2,high,low,high,Lead magnet,2,Rebate assistance
