cluster_name,pillar_page,pillar_url,cluster_page_title,cluster_page_url,target_keyword,word_count,priority,status,content_type,buyer_stage
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Crawl Space Encapsulation Guide,/blog/crawl-space-encapsulation-guide,crawl space encapsulation,2500-3000,High,To Create,Guide,Consideration
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Vented vs Sealed Crawl Space,/blog/vented-vs-sealed-crawl-space,vented vs sealed crawl space,2000-2500,High,To Create,Comparison,Awareness
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Crawl Space Moisture Problems,/blog/crawl-space-moisture-problems,crawl space moisture,2000-2500,Medium,To Create,Problem-Solution,Awareness
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Mobile Home Crawl Space Insulation,/blog/mobile-home-crawl-space-insulation,mobile home underbelly insulation,1800-2200,Medium,To Create,Specialty,Consideration
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Rim Joist Insulation,/blog/rim-joist-insulation,rim joist insulation,1800-2200,High,To Create,Service,Consideration
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Cold Floor Solutions,/blog/cold-floor-solutions,cold floors insulation,2000-2500,High,To Create,Problem-Solution,Awareness
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Basement Insulation Guide,/blog/basement-insulation-guide,basement insulation,2000-2500,Medium,To Create,Guide,Consideration
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Vapor Barrier Installation,/blog/crawl-space-vapor-barrier,crawl space vapor barrier,1800-2200,Medium,To Create,Guide,Consideration
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Mold Prevention in Crawl Spaces,/blog/crawl-space-mold-prevention,crawl space mold prevention,1800-2200,Medium,To Create,Problem-Solution,Awareness
Crawl Space,Crawl Space Insulation Guide,/crawl-space-insulation-guide,Crawl Space Insulation Cost,/blog/crawl-space-insulation-cost,crawl space insulation cost,2000-2500,High,To Create,Pricing,Decision
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,AHFC Rebate Guide,/resources/ahfc-rebates,AHFC rebates Alaska,2500-3000,Critical,To Create,Resource,Decision
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,R-Value Guide for Alaska,/resources/r-value-guide-alaska,r-value Alaska,2500-3000,High,To Create,Educational,Awareness
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Energy Savings Calculator,/energy-savings-calculator,energy savings calculator,1500-2000,High,To Create,Tool,Consideration
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Heating Cost Reduction Guide,/blog/reduce-heating-costs-alaska,reduce heating costs Alaska,2500-3000,High,To Create,Guide,Awareness
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Federal Tax Credits for Insulation,/resources/insulation-tax-credits,insulation tax credits,1800-2200,Medium,To Create,Resource,Decision
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Alaska Energy Costs Overview,/blog/alaska-energy-costs,Alaska energy costs,2000-2500,Medium,To Create,Educational,Awareness
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Home Energy Audit Guide,/blog/home-energy-audit-alaska,home energy audit,2000-2500,Medium,To Create,Guide,Awareness
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Insulation ROI Calculator,/resources/insulation-roi-calculator,insulation ROI,1500-2000,High,To Create,Tool,Decision
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Before/After Energy Studies,/case-studies/energy-savings-results,insulation before after,2000-2500,Medium,To Create,Case Study,Decision
Energy Efficiency,Energy Savings Through Insulation,/energy-savings-insulation,Weatherization Programs Overview,/resources/weatherization-programs,weatherization programs Alaska,2000-2500,Medium,To Create,Resource,Awareness
Location Services,Service Areas Hub,/service-areas,Anchorage Landing Page,/service-areas/anchorage,spray foam insulation Anchorage,2500-3000,Critical,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Mat-Su Valley Hub,/service-areas/mat-su-valley,Mat-Su insulation,2000-2500,Critical,To Create,Location Hub,Decision
Location Services,Service Areas Hub,/service-areas,Wasilla Landing Page,/service-areas/wasilla,spray foam insulation Wasilla,1800-2200,Critical,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Palmer Landing Page,/service-areas/palmer,spray foam insulation Palmer,1800-2200,Critical,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Eagle River Landing Page,/service-areas/eagle-river,spray foam Eagle River,1500-2000,High,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Chugiak Landing Page,/service-areas/chugiak,spray foam insulation Chugiak,1500-1800,Medium,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Kenai Peninsula Hub,/service-areas/kenai-peninsula,Kenai Peninsula insulation,2000-2500,High,To Create,Location Hub,Decision
Location Services,Service Areas Hub,/service-areas,Kenai City Page,/service-areas/kenai,spray foam insulation Kenai,1500-2000,Medium,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Soldotna Page,/service-areas/soldotna,spray foam insulation Soldotna,1500-1800,Medium,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Big Lake Page,/service-areas/big-lake,spray foam Big Lake,1200-1500,Lower,To Create,Location,Decision
Location Services,Service Areas Hub,/service-areas,Homer Page,/service-areas/homer,spray foam insulation Homer,1200-1500,Lower,To Create,Location,Decision
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,What Causes Ice Dams,/blog/what-causes-ice-dams,ice dam causes,2000-2500,High,To Create,Educational,Awareness
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Ice Dam Damage Prevention,/blog/ice-dam-damage-prevention,ice dam damage,2000-2500,High,To Create,Problem-Solution,Awareness
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Attic Ventilation Guide,/blog/roof-ventilation-ice-dams,attic ventilation ice dams,2000-2500,High,To Create,Guide,Consideration
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Attic Air Sealing for Ice Dams,/blog/attic-air-sealing-ice-dams,attic air sealing,2000-2500,High,To Create,Guide,Consideration
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Thermal Imaging for Ice Dams,/blog/thermal-imaging-ice-dams,thermal imaging ice dams,1800-2200,Medium,To Create,Service,Consideration
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Cathedral Ceiling Ice Dams,/blog/cathedral-ceiling-ice-dams,cathedral ceiling insulation,1800-2200,Medium,To Create,Specialty,Consideration
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Ice Dam Emergency Response,/blog/ice-dam-emergency-response,ice dam emergency,1500-2000,Medium,To Create,Emergency,Decision
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Winter Roof Preparation,/blog/winter-roof-preparation-alaska,winter roof preparation Alaska,1800-2200,Medium,To Create,Seasonal,Awareness
Ice Dam Prevention,Ice Dam Prevention Guide,/ice-dam-prevention-guide,Ice Dam Myths vs Facts,/blog/ice-dam-myths-facts,ice dam myths,1800-2200,Lower,To Create,Educational,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Air Sealing Services,/services/air-sealing,air sealing Alaska,2000-2500,High,To Create,Service Page,Consideration
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Common Air Leak Locations,/blog/common-air-leak-locations,air leak locations,2000-2500,High,To Create,Educational,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Blower Door Test Explained,/blog/blower-door-test-explained,blower door test,1800-2200,Medium,To Create,Educational,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Draft Prevention Guide,/blog/draft-prevention-guide,stop drafts,2000-2500,High,To Create,Problem-Solution,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Hot and Cold Spots,/blog/hot-cold-spots-fix,uneven heating home,1800-2200,Medium,To Create,Problem-Solution,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Bonus Room Insulation,/blog/bonus-room-insulation,bonus room comfort,1500-1800,Lower,To Create,Specialty,Consideration
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Sound Insulation Benefits,/blog/spray-foam-sound-insulation,sound insulation,1500-1800,Lower,To Create,Benefits,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Indoor Air Quality,/blog/insulation-air-quality,insulation air quality,1800-2200,Medium,To Create,Educational,Awareness
Home Comfort,Home Comfort Solutions,/home-comfort-solutions,Humidity Control,/blog/home-humidity-control,home humidity control,1800-2200,Medium,To Create,Guide,Awareness
Commercial,Commercial Insulation Services,/commercial,Warehouse Insulation,/commercial/warehouse-insulation,warehouse insulation Alaska,2000-2500,High,To Create,Commercial,Consideration
Commercial,Commercial Insulation Services,/commercial,Metal Building Insulation,/commercial/metal-building-insulation,metal building insulation,2000-2500,High,To Create,Commercial,Consideration
Commercial,Commercial Insulation Services,/commercial,New Construction Insulation,/commercial/new-construction-insulation,new construction insulation,1800-2200,Medium,To Create,Commercial,Consideration
Commercial,Commercial Insulation Services,/commercial,Commercial Energy Savings,/commercial/commercial-energy-savings,commercial energy savings,2000-2500,Medium,To Create,Commercial,Decision
Commercial,Commercial Insulation Services,/commercial,Cold Storage Insulation,/commercial/cold-storage-insulation,cold storage insulation,1500-1800,Lower,To Create,Commercial,Consideration
Commercial,Commercial Insulation Services,/commercial,Office Building Insulation,/commercial/office-building-insulation,office building insulation,1500-1800,Lower,To Create,Commercial,Consideration
Commercial,Commercial Insulation Services,/commercial,Industrial Insulation,/commercial/industrial-insulation,industrial insulation Alaska,1800-2200,Medium,To Create,Commercial,Consideration
Commercial,Commercial Insulation Services,/commercial,Commercial Insulation ROI,/commercial/commercial-insulation-roi,commercial insulation ROI,2000-2500,High,To Create,Tool,Decision
Commercial,Commercial Insulation Services,/commercial,Pole Barn Insulation,/commercial/pole-barn-insulation,pole barn insulation,1800-2200,Medium,To Create,Commercial,Consideration
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Best Insulation for Alaska,/blog/best-insulation-for-alaska,best insulation Alaska,2500-3000,Critical,To Create,Guide,Consideration
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Alaska Building Code Requirements,/blog/alaska-insulation-code-requirements,Alaska insulation code,2000-2500,High,To Create,Educational,Awareness
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Cold Climate Moisture Control,/blog/cold-climate-moisture-insulation,cold climate moisture,2000-2500,High,To Create,Technical,Awareness
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Log Cabin Insulation,/blog/log-cabin-insulation-alaska,log cabin insulation Alaska,1800-2200,Medium,To Create,Specialty,Consideration
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Permafrost Building Considerations,/blog/permafrost-insulation-alaska,permafrost building,1500-1800,Lower,To Create,Specialty,Awareness
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Winter Insulation Installation,/blog/winter-insulation-installation,install insulation winter,1800-2200,Medium,To Create,Guide,Consideration
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Extreme Cold R-Value Performance,/blog/extreme-cold-r-value,r-value cold climate,1800-2200,Medium,To Create,Technical,Awareness
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Remote Location Service,/blog/insulation-service-remote-alaska,remote Alaska insulation,1500-1800,Lower,To Create,Service,Decision
Alaska Climate,Alaska Insulation Solutions,/alaska-insulation-solutions,Alaska vs Lower 48 Insulation,/blog/alaska-vs-lower-48-insulation,Alaska insulation different,1800-2200,Lower,To Create,Educational,Awareness
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Attic Insulation Cost,/cost/attic-insulation-cost,attic insulation cost Alaska,2000-2500,High,To Create,Pricing,Decision
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Crawl Space Insulation Cost,/cost/crawl-space-insulation-cost,crawl space insulation cost,2000-2500,High,To Create,Pricing,Decision
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Closed Cell vs Open Cell Cost,/blog/closed-cell-vs-open-cell-cost,closed cell cost vs open cell,1800-2200,High,To Create,Pricing,Decision
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Spray Foam vs Fiberglass Cost,/blog/spray-foam-fiberglass-cost,spray foam fiberglass cost,1800-2200,High,To Create,Comparison,Decision
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Insulation Financing Options,/financing,insulation financing,1500-1800,Medium,To Create,Resource,Decision
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Insulation ROI Calculator,/resources/insulation-roi-calculator,insulation payback calculator,1500-2000,High,To Create,Tool,Decision
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,What Affects Insulation Cost,/blog/insulation-pricing-factors,insulation pricing factors,1800-2200,Medium,To Create,Educational,Awareness
Cost & Pricing,Spray Foam Insulation Cost Guide,/spray-foam-insulation-cost,Free Estimate Guide,/blog/insulation-quote-what-to-expect,insulation quote guide,1500-1800,Medium,To Create,Guide,Decision
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,How Thermal Imaging Works,/blog/how-thermal-imaging-works,thermal imaging insulation,1800-2200,High,To Create,Educational,Awareness
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,Thermal Inspection Results Guide,/blog/thermal-inspection-results,thermal inspection results,1500-1800,Medium,To Create,Educational,Awareness
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,Before/After Thermal Images,/blog/thermal-imaging-before-after,thermal imaging before after,2000-2500,High,To Create,Case Study,Consideration
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,Energy Audit Process,/blog/energy-audit-process-alaska,home energy audit Alaska,1800-2200,Medium,To Create,Guide,Awareness
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,Blower Door Testing,/blog/blower-door-testing-guide,blower door test explained,1500-1800,Medium,To Create,Educational,Awareness
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,Finding Hidden Heat Loss,/blog/find-hidden-heat-loss,find heat loss home,1800-2200,High,To Create,Problem-Solution,Awareness
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,Thermal Inspection Cost,/blog/thermal-inspection-cost,thermal inspection cost,1500-1800,Medium,To Create,Pricing,Decision
Thermal Inspections,Thermal Inspections & Energy Audits,/thermal-inspections-energy-audits,DIY vs Professional Thermal,/blog/thermal-camera-vs-professional,thermal camera vs professional,1200-1500,Lower,To Create,Comparison,Consideration
